week,searchInterest
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,0
2010-10-17 - 2010-10-23,0
2010-10-24 - 2010-10-30,0
2010-10-31 - 2010-11-06,0
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,0
2010-11-21 - 2010-11-27,0
2010-11-28 - 2010-12-04,0
2010-12-05 - 2010-12-11,0
2010-12-12 - 2010-12-18,0
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,0
2011-01-23 - 2011-01-29,0
2011-01-30 - 2011-02-05,0
2011-02-06 - 2011-02-12,1
2011-02-13 - 2011-02-19,1
2011-02-20 - 2011-02-26,1
2011-02-27 - 2011-03-05,1
2011-03-06 - 2011-03-12,1
2011-03-13 - 2011-03-19,0
2011-03-20 - 2011-03-26,1
2011-03-27 - 2011-04-02,1
2011-04-03 - 2011-04-09,1
2011-04-10 - 2011-04-16,1
2011-04-17 - 2011-04-23,1
2011-04-24 - 2011-04-30,2
2011-05-01 - 2011-05-07,2
2011-05-08 - 2011-05-14,2
2011-05-15 - 2011-05-21,8
2011-05-22 - 2011-05-28,7
2011-05-29 - 2011-06-04,12
2011-06-05 - 2011-06-11,15
2011-06-12 - 2011-06-18,19
2011-06-19 - 2011-06-25,15
2011-06-26 - 2011-07-02,9
2011-07-03 - 2011-07-09,8
2011-07-10 - 2011-07-16,7
2011-07-17 - 2011-07-23,6
2011-07-24 - 2011-07-30,6
2011-07-31 - 2011-08-06,7
2011-08-07 - 2011-08-13,6
2011-08-14 - 2011-08-20,5
2011-08-21 - 2011-08-27,6
2011-08-28 - 2011-09-03,5
2011-09-04 - 2011-09-10,5
2011-09-11 - 2011-09-17,4
2011-09-18 - 2011-09-24,4
2011-09-25 - 2011-10-01,3
2011-10-02 - 2011-10-08,3
2011-10-09 - 2011-10-15,3
2011-10-16 - 2011-10-22,3
2011-10-23 - 2011-10-29,3
2011-10-30 - 2011-11-05,3
2011-11-06 - 2011-11-12,2
2011-11-13 - 2011-11-19,2
2011-11-20 - 2011-11-26,2
2011-11-27 - 2011-12-03,2
2011-12-04 - 2011-12-10,2
2011-12-11 - 2011-12-17,2
2011-12-18 - 2011-12-24,2
2011-12-25 - 2011-12-31,2
2012-01-01 - 2012-01-07,3
2012-01-08 - 2012-01-14,3
2012-01-15 - 2012-01-21,4
2012-01-22 - 2012-01-28,3
2012-01-29 - 2012-02-04,3
2012-02-05 - 2012-02-11,2
2012-02-12 - 2012-02-18,2
2012-02-19 - 2012-02-25,2
2012-02-26 - 2012-03-03,3
2012-03-04 - 2012-03-10,2
2012-03-11 - 2012-03-17,2
2012-03-18 - 2012-03-24,2
2012-03-25 - 2012-03-31,2
2012-04-01 - 2012-04-07,3
2012-04-08 - 2012-04-14,3
2012-04-15 - 2012-04-21,2
2012-04-22 - 2012-04-28,3
2012-04-29 - 2012-05-05,2
2012-05-06 - 2012-05-12,3
2012-05-13 - 2012-05-19,2
2012-05-20 - 2012-05-26,2
2012-05-27 - 2012-06-02,2
2012-06-03 - 2012-06-09,2
2012-06-10 - 2012-06-16,3
2012-06-17 - 2012-06-23,2
2012-06-24 - 2012-06-30,2
2012-07-01 - 2012-07-07,2
2012-07-08 - 2012-07-14,3
2012-07-15 - 2012-07-21,3
2012-07-22 - 2012-07-28,3
2012-07-29 - 2012-08-04,3
2012-08-05 - 2012-08-11,3
2012-08-12 - 2012-08-18,4
2012-08-19 - 2012-08-25,4
2012-08-26 - 2012-09-01,3
2012-09-02 - 2012-09-08,5
2012-09-09 - 2012-09-15,3
2012-09-16 - 2012-09-22,3
2012-09-23 - 2012-09-29,3
2012-09-30 - 2012-10-06,3
2012-10-07 - 2012-10-13,3
2012-10-14 - 2012-10-20,3
2012-10-21 - 2012-10-27,3
2012-10-28 - 2012-11-03,3
2012-11-04 - 2012-11-10,3
2012-11-11 - 2012-11-17,3
2012-11-18 - 2012-11-24,3
2012-11-25 - 2012-12-01,4
2012-12-02 - 2012-12-08,4
2012-12-09 - 2012-12-15,5
2012-12-16 - 2012-12-22,3
2012-12-23 - 2012-12-29,3
2012-12-30 - 2013-01-05,3
2013-01-06 - 2013-01-12,4
2013-01-13 - 2013-01-19,4
2013-01-20 - 2013-01-26,4
2013-01-27 - 2013-02-02,5
2013-02-03 - 2013-02-09,5
2013-02-10 - 2013-02-16,6
2013-02-17 - 2013-02-23,7
2013-02-24 - 2013-03-02,7
2013-03-03 - 2013-03-09,9
2013-03-10 - 2013-03-16,10
2013-03-17 - 2013-03-23,16
2013-03-24 - 2013-03-30,25
2013-03-31 - 2013-04-06,40
2013-04-07 - 2013-04-13,77
2013-04-14 - 2013-04-20,42
2013-04-21 - 2013-04-27,24
2013-04-28 - 2013-05-04,22
2013-05-05 - 2013-05-11,18
2013-05-12 - 2013-05-18,17
2013-05-19 - 2013-05-25,15
2013-05-26 - 2013-06-01,15
2013-06-02 - 2013-06-08,13
2013-06-09 - 2013-06-15,13
2013-06-16 - 2013-06-22,10
2013-06-23 - 2013-06-29,11
2013-06-30 - 2013-07-06,15
2013-07-07 - 2013-07-13,11
2013-07-14 - 2013-07-20,10
2013-07-21 - 2013-07-27,10
2013-07-28 - 2013-08-03,11
2013-08-04 - 2013-08-10,11
2013-08-11 - 2013-08-17,13
2013-08-18 - 2013-08-24,13
2013-08-25 - 2013-08-31,12
2013-09-01 - 2013-09-07,10
2013-09-08 - 2013-09-14,9
2013-09-15 - 2013-09-21,10
2013-09-22 - 2013-09-28,10
2013-09-29 - 2013-10-05,18
2013-10-06 - 2013-10-12,12
2013-10-13 - 2013-10-19,12
2013-10-20 - 2013-10-26,14
2013-10-27 - 2013-11-02,35
2013-11-03 - 2013-11-09,33
2013-11-10 - 2013-11-16,36
2013-11-17 - 2013-11-23,82
2013-11-24 - 2013-11-30,100
2013-12-01 - 2013-12-07,98
2013-12-08 - 2013-12-14,70
2013-12-15 - 2013-12-21,72
2013-12-22 - 2013-12-28,48
2013-12-29 - 2014-01-04,41
2014-01-05 - 2014-01-11,47
2014-01-12 - 2014-01-18,45
2014-01-19 - 2014-01-25,46
2014-01-26 - 2014-02-01,46
2014-02-02 - 2014-02-08,39
2014-02-09 - 2014-02-15,50
2014-02-16 - 2014-02-22,42
2014-02-23 - 2014-03-01,76
2014-03-02 - 2014-03-08,61
2014-03-09 - 2014-03-15,34
2014-03-16 - 2014-03-22,29
2014-03-23 - 2014-03-29,29
2014-03-30 - 2014-04-05,25
2014-04-06 - 2014-04-12,25
2014-04-13 - 2014-04-19,22
2014-04-20 - 2014-04-26,20
2014-04-27 - 2014-05-03,18
2014-05-04 - 2014-05-10,18
2014-05-11 - 2014-05-17,17
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,20
2014-06-01 - 2014-06-07,19
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,19
2014-06-22 - 2014-06-28,16
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,16
2014-07-13 - 2014-07-19,17
2014-07-20 - 2014-07-26,17
2014-07-27 - 2014-08-02,16
2014-08-03 - 2014-08-09,16
2014-08-10 - 2014-08-16,19
2014-08-17 - 2014-08-23,18
2014-08-24 - 2014-08-30,15
2014-08-31 - 2014-09-06,17
2014-09-07 - 2014-09-13,18
2014-09-14 - 2014-09-20,17
2014-09-21 - 2014-09-27,17
2014-09-28 - 2014-10-04,17
2014-10-05 - 2014-10-11,19
2014-10-12 - 2014-10-18,16
2014-10-19 - 2014-10-25,15
2014-10-26 - 2014-11-01,15
2014-11-02 - 2014-11-08,16
2014-11-09 - 2014-11-15,18
2014-11-16 - 2014-11-22,16
2014-11-23 - 2014-11-29,14
2014-11-30 - 2014-12-06,15
2014-12-07 - 2014-12-13,17
2014-12-14 - 2014-12-20,17
2014-12-21 - 2014-12-27,18
2014-12-28 - 2015-01-03,16
2015-01-04 - 2015-01-10,18
2015-01-11 - 2015-01-17,20
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,16
2015-02-15 - 2015-02-21,17
2015-02-22 - 2015-02-28,15
2015-03-01 - 2015-03-07,16
2015-03-08 - 2015-03-14,16
2015-03-15 - 2015-03-21,15
2015-03-22 - 2015-03-28,14
2015-03-29 - 2015-04-04,14
2015-04-05 - 2015-04-11,14
2015-04-12 - 2015-04-18,13
2015-04-19 - 2015-04-25,14
2015-04-26 - 2015-05-02,13
2015-05-03 - 2015-05-09,13
2015-05-10 - 2015-05-16,14
2015-05-17 - 2015-05-23,14
2015-05-24 - 2015-05-30,14
2015-05-31 - 2015-06-06,14
2015-06-07 - 2015-06-13,12
2015-06-14 - 2015-06-20,16
2015-06-21 - 2015-06-27,13
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,17
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,16
2015-08-02 - 2015-08-08,15
2015-08-09 - 2015-08-15,14
2015-08-16 - 2015-08-22,16
2015-08-23 - 2015-08-29,16
2015-08-30 - 2015-09-05,14
2015-09-06 - 2015-09-12,13
2015-09-13 - 2015-09-19,14
2015-09-20 - 2015-09-26,14
2015-09-27 - 2015-10-03,13
2015-10-04 - 2015-10-10,14
2015-10-11 - 2015-10-17,14
2015-10-18 - 2015-10-24,15
2015-10-25 - 2015-10-31,17
2015-11-01 - 2015-11-07,27
2015-11-08 - 2015-11-14,20
2015-11-15 - 2015-11-21,17
2015-11-22 - 2015-11-28,17
2015-11-29 - 2015-12-05,17
2015-12-06 - 2015-12-12,26
2015-12-13 - 2015-12-19,20
2015-12-20 - 2015-12-26,18
2015-12-27 - 2016-01-02,18
2016-01-03 - 2016-01-09,19
2016-01-10 - 2016-01-16,20
2016-01-17 - 2016-01-23,21
2016-01-24 - 2016-01-30,18
2016-01-31 - 2016-02-06,17
2016-02-07 - 2016-02-13,17
2016-02-14 - 2016-02-20,20
2016-02-21 - 2016-02-27,18
2016-02-28 - 2016-03-05,18
2016-03-06 - 2016-03-12,17
2016-03-13 - 2016-03-19,17
2016-03-20 - 2016-03-26,16
2016-03-27 - 2016-04-02,17
2016-04-03 - 2016-04-09,17
2016-04-10 - 2016-04-16,17
2016-04-17 - 2016-04-23,17
2016-04-24 - 2016-04-30,19
2016-05-01 - 2016-05-07,31
2016-05-08 - 2016-05-14,19
2016-05-15 - 2016-05-21,18
2016-05-22 - 2016-05-28,18
2016-05-29 - 2016-06-04,24
2016-06-05 - 2016-06-11,22
2016-06-12 - 2016-06-18,30
2016-06-19 - 2016-06-25,29
2016-06-26 - 2016-07-02,24
2016-07-03 - 2016-07-09,24
2016-07-10 - 2016-07-16,22
2016-07-17 - 2016-07-23,20
2016-07-24 - 2016-07-30,21
